"alert__week","alert__year","alert__count","confidence__cat"
15,2017,2133,"n"
15,2017,42,"h"
14,2017,105,"l"
14,2017,37,"h"
14,2017,1639,"n"
13,2017,42,"h"
13,2017,1923,"n"
13,2017,152,"l"
12,2017,35,"h"
12,2017,1524,"n"
12,2017,88,"l"
11,2017,27,"h"
11,2017,1576,"n"
11,2017,32,"l"
10,2017,26,"h"
10,2017,1943,"n"
10,2017,136,"l"
9,2017,1921,"n"
9,2017,26,"h"
9,2017,110,"l"
8,2017,16,"h"
8,2017,9,"l"
8,2017,1163,"n"
7,2017,21,"h"
7,2017,1648,"n"
7,2017,28,"l"
6,2017,27,"h"
6,2017,1694,"n"
6,2017,18,"l"
5,2017,39,"l"
5,2017,1807,"n"
5,2017,43,"h"
4,2017,30,"h"
4,2017,9,"l"
4,2017,1527,"n"
3,2017,32,"h"
3,2017,7,"l"
3,2017,1214,"n"
2,2017,6,"l"
2,2017,1297,"n"
2,2017,39,"h"
1,2017,1554,"n"
1,2017,5,"l"
1,2017,55,"h"
53,2016,784,"n"
53,2016,24,"h"
53,2016,5,"l"
52,2016,7,"l"
52,2016,1125,"n"
52,2016,19,"h"
51,2016,1258,"n"
51,2016,33,"h"
51,2016,4,"l"
50,2016,3,"l"
50,2016,24,"h"
50,2016,1218,"n"
49,2016,859,"n"
49,2016,4,"l"
49,2016,6,"h"
48,2016,34,"h"
48,2016,1275,"n"
48,2016,13,"l"
47,2016,1578,"n"
47,2016,52,"h"
47,2016,19,"l"
46,2016,1168,"n"
46,2016,18,"h"
45,2016,28,"h"
45,2016,16,"l"
45,2016,1407,"n"
44,2016,2166,"n"
44,2016,50,"l"
44,2016,55,"h"
43,2016,2332,"n"
43,2016,60,"h"
43,2016,77,"l"
42,2016,1677,"n"
42,2016,19,"h"
42,2016,96,"l"
41,2016,49,"h"
41,2016,124,"l"
41,2016,1958,"n"
40,2016,197,"l"
40,2016,1929,"n"
40,2016,27,"h"
39,2016,1206,"n"
39,2016,93,"l"
39,2016,13,"h"
38,2016,33,"h"
38,2016,2072,"n"
38,2016,194,"l"
37,2016,1934,"n"
37,2016,63,"h"
37,2016,223,"l"
36,2016,112,"h"
36,2016,295,"l"
36,2016,2649,"n"
35,2016,282,"l"
35,2016,2714,"n"
35,2016,155,"h"
34,2016,2561,"n"
34,2016,114,"h"
34,2016,296,"l"
33,2016,2649,"n"
33,2016,173,"h"
33,2016,366,"l"
32,2016,56,"h"
32,2016,214,"l"
32,2016,2267,"n"
31,2016,2579,"n"
31,2016,122,"h"
31,2016,314,"l"
30,2016,395,"l"
30,2016,2323,"n"
30,2016,153,"h"
29,2016,2457,"n"
29,2016,175,"h"
29,2016,359,"l"
28,2016,242,"l"
28,2016,2378,"n"
28,2016,99,"h"
27,2016,181,"l"
27,2016,49,"h"
27,2016,1650,"n"
26,2016,1531,"n"
26,2016,47,"h"
26,2016,216,"l"
25,2016,171,"l"
25,2016,2146,"n"
25,2016,93,"h"
24,2016,79,"h"
24,2016,192,"l"
24,2016,1887,"n"
23,2016,239,"l"
23,2016,1744,"n"
23,2016,64,"h"
22,2016,30,"h"
22,2016,1585,"n"
22,2016,202,"l"
21,2016,168,"l"
21,2016,1576,"n"
21,2016,53,"h"
20,2016,137,"l"
20,2016,20,"h"
