date,target
2021-08-31 10:02:03,506
2021-09-01 10:02:03,447
2021-09-02 10:02:03,388
2021-09-03 10:02:03,393
2021-09-04 10:02:03,351
2021-09-05 10:02:03,345
2021-09-06 10:02:03,309
2021-09-07 10:02:03,332
2021-09-08 10:02:03,317
2021-09-09 10:02:03,313
2021-09-10 10:02:03,285
2021-09-11 10:02:03,262
2021-09-12 10:02:03,246
2021-09-13 10:02:03,233
2021-09-14 10:02:03,227
2021-09-15 10:02:03,242
2021-09-16 10:02:03,219
2021-09-17 10:02:03,235
2021-09-18 10:02:03,201
2021-09-19 10:02:03,175
2021-09-20 10:02:03,166
2021-09-21 10:02:03,182
2021-09-22 10:02:03,174
2021-09-23 10:02:03,161
2021-09-24 10:02:03,166
2021-09-25 10:02:03,125
2021-09-26 10:02:03,148
2021-09-27 10:02:03,155
2021-09-28 10:02:03,168
2021-09-29 10:02:03,153
2021-09-30 10:02:03,161
2021-10-01 10:02:03,158
2021-10-02 10:02:03,140
2021-10-03 10:02:03,132
2021-10-04 10:02:03,126
2021-10-05 10:02:03,131
2021-10-06 10:02:03,125
2021-10-07 10:02:03,105
2021-10-08 10:02:03,112
2021-10-09 10:02:03,102
2021-10-10 10:02:03,107
2021-10-11 10:02:03,98
2021-10-12 10:02:03,95
2021-10-13 10:02:03,110
2021-10-14 10:02:03,105
2021-10-15 10:02:03,101
2021-10-16 10:02:03,93
2021-10-17 10:02:03,87
2021-10-18 10:02:03,78
2021-10-19 10:02:03,89
2021-10-20 10:02:03,76
2021-10-21 10:02:03,70
2021-10-22 10:02:03,84
2021-10-23 10:02:03,67
2021-10-24 10:02:03,72
2021-10-25 10:02:03,81
2021-10-26 10:02:03,87
2021-10-27 10:02:03,79
2021-10-28 10:02:03,91
2021-10-29 10:02:03,110
2021-10-30 10:02:03,88
2021-10-31 10:02:03,94
2021-11-01 10:02:03,114
2021-11-02 10:02:03,83
2021-11-03 10:02:03,105
2021-11-04 10:02:03,124
2021-11-05 10:02:03,117
2021-11-06 10:02:03,84
2021-11-07 10:02:03,77
2021-11-08 10:02:03,98
2021-11-09 10:02:03,131
2021-11-10 10:02:03,124
2021-11-11 10:02:03,115
2021-11-12 10:02:03,140
2021-11-13 10:02:03,109
2021-11-14 10:02:03,97
2021-11-15 10:02:03,134
2021-11-16 10:02:03,141
2021-11-17 10:02:03,135
2021-11-18 10:02:03,152
2021-11-19 10:02:03,163
2021-11-20 10:02:03,144
2021-11-21 10:02:03,113
2021-11-22 10:02:03,159
2021-11-23 10:02:03,172
2021-11-24 10:02:03,180
2021-11-25 10:02:03,161
2021-11-26 10:02:03,193
2021-11-27 10:02:03,163
2021-11-28 10:02:03,172
2021-11-29 10:02:03,192
2021-11-30 10:02:03,187
2021-12-01 10:02:03,192
2021-12-02 10:02:03,198
2021-12-03 10:02:03,191
2021-12-04 10:02:03,185
2021-12-05 10:02:03,172
2021-12-06 10:02:03,193
2021-12-07 10:02:03,197
2021-12-08 10:02:03,188
2021-12-09 10:02:03,177
2021-12-10 10:02:03,210
2021-12-11 10:02:03,218
2021-12-12 10:02:03,196
2021-12-13 10:02:03,210
2021-12-14 10:02:03,230
2021-12-15 10:02:03,245
2021-12-16 10:02:03,212
2021-12-17 10:02:03,299
2021-12-18 10:02:03,286
2021-12-19 10:02:03,262
2021-12-20 10:02:03,243
2021-12-21 10:02:03,310
2021-12-22 10:02:03,285
2021-12-23 10:02:03,293
2021-12-24 10:02:03,375
2021-12-25 10:02:03,278
2021-12-26 10:02:03,261
2021-12-27 10:02:03,293
2021-12-28 10:02:03,335
2021-12-29 10:02:03,382
2021-12-30 10:02:03,390
2021-12-31 10:02:03,395
2022-01-01 10:02:03,386
2022-01-02 10:02:03,341
2022-01-03 10:02:03,373
2022-01-04 10:02:03,421
2022-01-05 10:02:03,462
2022-01-06 10:02:03,410
2022-01-07 10:02:03,491
2022-01-08 10:02:03,426
2022-01-09 10:02:03,415
2022-01-10 10:02:03,482
2022-01-11 10:02:03,557
2022-01-12 10:02:03,610
2022-01-13 10:02:03,577
2022-01-14 10:02:03,596
2022-01-15 10:02:03,505
2022-01-16 10:02:03,573
2022-01-17 10:02:03,692
2022-01-18 10:02:03,810
2022-01-19 10:02:03,1359
2022-01-20 10:02:03,1552
2022-01-21 10:02:03,1855
2022-01-22 10:02:03,2211
2022-01-23 10:02:03,2134
2022-01-24 10:02:03,2215
2022-01-25 10:02:03,2521
2022-01-26 10:02:03,2162
2022-01-27 10:02:03,2130
2022-01-28 10:02:03,1870
2022-01-29 10:02:03,1742
2022-01-30 10:02:03,1464
2022-01-31 10:02:03,1343
2022-02-01 10:02:03,1403
2022-02-02 10:02:03,1365
2022-02-03 10:02:03,951
2022-02-04 10:02:03,970
2022-02-05 10:02:03,792
2022-02-06 10:02:03,378
2022-02-07 10:02:03,502
2022-02-08 10:02:03,610
2022-02-09 10:02:03,585
2022-02-10 10:02:03,518
2022-02-11 10:02:03,532
2022-02-12 10:02:03,503
2022-02-13 10:02:03,526
2022-02-14 10:02:03,413
2022-02-15 10:02:03,405
2022-02-16 10:02:03,424
2022-02-17 10:02:03,375
2022-02-18 10:02:03,316
2022-02-19 10:02:03,251
2022-02-20 10:02:03,118
2022-02-21 10:02:03,147
2022-02-22 10:02:03,164
2022-02-23 10:02:03,123
2022-02-24 10:02:03,115
2022-02-25 10:02:03,103
2022-02-26 10:02:03,72
2022-02-27 10:02:03,77
2022-02-28 10:02:03,81
2022-03-01 10:02:03,74
2022-03-02 10:02:03,69
2022-03-03 10:02:03,51
2022-03-04 10:02:03,56
2022-03-05 10:02:03,41
2022-03-06 10:02:03,38
2022-03-07 10:02:03,32
2022-03-08 10:02:03,26
2022-03-09 10:02:03,23
2022-03-10 10:02:03,20
2022-03-11 10:02:03,25
2022-03-12 10:02:03,19
2022-03-13 10:02:03,22
2022-03-14 10:02:03,25
2022-03-15 10:02:03,21
2022-03-16 10:02:03,18
2022-03-17 10:02:03,15
2022-03-18 10:02:03,13
2022-03-19 10:02:03,15
2022-03-20 10:02:03,11
2022-03-21 10:02:03,12
2022-03-22 10:02:03,11
2022-03-23 10:02:03,12
2022-03-24 10:02:03,14
2022-03-25 10:02:03,13
2022-03-26 10:02:03,9
2022-03-27 10:02:03,8
2022-03-28 10:02:03,12
2022-03-29 10:02:03,10
2022-03-30 10:02:03,11
2022-03-31 10:02:03,9
2022-04-01 10:02:03,8
2022-04-02 10:02:03,5
2022-04-03 10:02:03,7
2022-04-04 10:02:03,3
2022-04-05 10:02:03,5
2022-04-06 10:02:03,6
2022-04-07 10:02:03,2
2022-04-08 10:02:03,7
2022-04-09 10:02:03,6
2022-04-10 10:02:03,4
2022-04-11 10:02:03,3
2022-04-12 10:02:03,3
2022-04-13 10:02:03,1
2022-04-14 10:02:03,2
2022-04-15 10:02:03,5
2022-04-16 10:02:03,1
2022-04-17 10:02:03,0
2022-04-18 10:02:03,2
2022-04-19 10:02:03,5
2022-04-20 10:02:03,0
2022-04-21 10:02:03,8
2022-04-22 10:02:03,7
2022-04-23 10:02:03,0
2022-04-24 10:02:03,6
2022-04-25 10:02:03,4
2022-04-26 10:02:03,1
2022-04-27 10:02:03,1
2022-04-28 10:02:03,3
2022-04-29 10:02:03,3
2022-04-30 10:02:03,1
2022-05-01 10:02:03,2
2022-05-02 10:02:03,0
2022-05-03 10:02:03,0
2022-05-04 10:02:03,0
2022-05-05 10:02:03,4
2022-05-06 10:02:03,5
2022-05-07 10:02:03,3
2022-05-08 10:02:03,4
2022-05-09 10:02:03,2
2022-05-10 10:02:03,4
2022-05-11 10:02:03,2
2022-05-12 10:02:03,2
2022-05-13 10:02:03,6
2022-05-14 10:02:03,2
2022-05-15 10:02:03,2
2022-05-16 10:02:03,5
2022-05-17 10:02:03,5
2022-05-18 10:02:03,6
2022-05-19 10:02:03,7
2022-05-20 10:02:03,6
2022-05-21 10:02:03,4
2022-05-22 10:02:03,3
2022-05-23 10:02:03,1
2022-05-24 10:02:03,5
2022-05-25 10:02:03,2
2022-05-26 10:02:03,2
2022-05-27 10:02:03,6
2022-05-28 10:02:03,3
2022-05-29 10:02:03,0
2022-05-30 10:02:03,4
2022-05-31 10:02:03,7
2022-06-01 10:02:03,3
2022-06-02 10:02:03,2
2022-06-03 10:02:03,0
2022-06-04 10:02:03,0
2022-06-05 10:02:03,8
2022-06-06 10:02:03,3
2022-06-07 10:02:03,4
2022-06-08 10:02:03,5
2022-06-09 10:02:03,11
2022-06-10 10:02:03,5
2022-06-11 10:02:03,0
2022-06-12 10:02:03,2
2022-06-13 10:02:03,10
2022-06-14 10:02:03,6
2022-06-15 10:02:03,9
2022-06-16 10:02:03,12
2022-06-17 10:02:03,4
2022-06-18 10:02:03,3
2022-06-19 10:02:03,4
2022-06-20 10:02:03,10
2022-06-21 10:02:03,8
2022-06-22 10:02:03,13
2022-06-23 10:02:03,9
2022-06-24 10:02:03,10
